discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Artistic Swimming,tokyo-2020,Duet,Women,BRONZE,GameTeam,Anastasiya SAVCHUK,Ukraine,UA,UKR
Artistic Swimming,tokyo-2020,Team,Women,GOLD,GameTeam,,ROC,ROC,ROC
Artistic Swimming,tokyo-2020,Team,Women,SILVER,GameTeam,,People's Republic of China,CN,CHN
Artistic Swimming,tokyo-2020,Team,Women,BRONZE,GameTeam,,Ukraine,UA,UKR
Handball,tokyo-2020,Men,Men,GOLD,GameTeam,,France,FR,FRA
Handball,tokyo-2020,Men,Men,SILVER,GameTeam,,Denmark,DK,DEN
Handball,tokyo-2020,Men,Men,BRONZE,GameTeam,,Spain,ES,ESP
Handball,tokyo-2020,Women,Women,GOLD,GameTeam,,France,FR,FRA
Handball,tokyo-2020,Women,Women,SILVER,GameTeam,,ROC,ROC,ROC
Handball,tokyo-2020,Women,Women,BRONZE,GameTeam,,Norway,NO,NOR
Rugby Sevens,tokyo-2020,Men,Men,GOLD,GameTeam,,Fiji,FJ,FIJ
Rugby Sevens,tokyo-2020,Men,Men,SILVER,GameTeam,,New Zealand,NZ,NZL
Rugby Sevens,tokyo-2020,Men,Men,BRONZE,GameTeam,,Argentina,AR,ARG
Rugby Sevens,tokyo-2020,Women,Women,GOLD,GameTeam,,New Zealand,NZ,NZL
Rugby Sevens,tokyo-2020,Women,Women,SILVER,GameTeam,,France,FR,FRA
Rugby Sevens,tokyo-2020,Women,Women,BRONZE,GameTeam,,Fiji,FJ,FIJ
Cycling BMX Racing,tokyo-2020,Men,Men,GOLD,Athlete,Niek KIMMANN,Netherlands,NL,NED
Cycling BMX Racing,tokyo-2020,Men,Men,SILVER,Athlete,Kye WHYTE,Great Britain,GB,GBR
Cycling BMX Racing,tokyo-2020,Men,Men,BRONZE,Athlete,Carlos Alberto RAMIREZ YEPES,Colombia,CO,COL
Cycling BMX Racing,tokyo-2020,Women,Women,GOLD,Athlete,Bethany SHRIEVER,Great Britain,GB,GBR
