athlete_full_name,games_participations,first_game,athlete_year_birth
Chaeun LEE,1,Beijing 2022,2006
Ruka HIRANO,1,Beijing 2022,2002
Ziyang WANG,1,Beijing 2022,2003
Ao GU,1,Beijing 2022,1999
Valentino GUSELI,1,Beijing 2022,2005
Hongbo GAO,1,Beijing 2022,2000
Lorenzo GENNERO,1,Beijing 2022,1997
Kaishu HIRANO,1,Beijing 2022,2002
Xiaobing FAN,1,Beijing 2022,2001
Andre HOEFLICH,1,Beijing 2022,1997
Cool WAKUSHIMA,1,Beijing 2022,2002
Melanie HOCHREITER,1,Beijing 2022,1996
Polina SMOLENTSOVA,1,Beijing 2022,1998
Lucia DALMASSO,1,Beijing 2022,1997
Sofia NADYRSHINA,1,Beijing 2022,2003
Aleksandra MICHALIK,1,Beijing 2022,1999
Kaylie BUCK,1,Beijing 2022,2000
Jennifer HAWKRIGG,1,Beijing 2022,1996
Jessica KEISER,1,Beijing 2022,1994
Tsubaki MIKI,1,Beijing 2022,2003
Megan FARRELL,1,Beijing 2022,1992
Zuzana MADEROVA,1,Beijing 2022,2003
Killian PEIER,1,Beijing 2022,1995
Constantin SCHMID,1,Beijing 2022,1999
Danil VASSILYEV,1,Beijing 2022,2004
Yevhen MARUSIAK,1,Beijing 2022,2000
Halvor Egner GRANERUD,1,Beijing 2022,1996
Marius LINDVIK,1,Beijing 2022,1998
Pawel WASEK,1,Beijing 2022,1999
Radek RYDL,1,Beijing 2022,2001
Vitaliy KALINICHENKO,1,Beijing 2022,1993
Dominik PETER,1,Beijing 2022,2001
Decker DEAN,1,Beijing 2022,2000
Qiwu SONG,1,Beijing 2022,2001
Naoki NAKAMURA,1,Beijing 2022,1996
Filip SAKALA,1,Beijing 2022,1996
Anton KORCHUK,1,Beijing 2022,2004
Yukiya SATO,1,Beijing 2022,1995
Danil SADREEV,1,Beijing 2022,2003
Pius PASCHKE,1,Beijing 2022,1990
Matthew SOUKUP,1,Beijing 2022,1997
Jan HOERL,1,Beijing 2022,1998
Andrei FELDOREAN,1,Beijing 2022,2000
Cene PREVC,1,Beijing 2022,1996
Roman-Sergeevich TROFIMOV,1,Beijing 2022,1989
Giovanni BRESADOLA,1,Beijing 2022,2001
Daniel HUBER,1,Beijing 2022,1993
Lovro KOS,1,Beijing 2022,1999
Patrick GASIENICA,1,Beijing 2022,1998
Daniel Andrei CACINA,1,Beijing 2022,2001
Karolina INDRACKOVA,1,Beijing 2022,1997
Jenny RAUTIONAHO,1,Beijing 2022,1996
Sophie SORSCHAG,1,Beijing 2022,1998
Josephine PAGNIER,1,Beijing 2022,2002
Nicole KONDERLA,1,Beijing 2022,2001
Anezka INDRACKOVA,1,Beijing 2022,2006
Irma MAKHINIA,1,Beijing 2022,2002
Eva PINKELNIG,1,Beijing 2022,1988
Klara ULRICHOVA,1,Beijing 2022,2004
Alexandria LOUTITT,1,Beijing 2022,2004
Selina FREITAG,1,Beijing 2022,2001
Anna HOFFMANN,1,Beijing 2022,2000
Qingyue PENG,1,Beijing 2022,2005
Kinga RAJDA,1,Beijing 2022,2000
Pauline HESSLER,1,Beijing 2022,1998
Frida WESTMAN,1,Beijing 2022,2001
Anna Odine STROEM,1,Beijing 2022,1998
Bing DONG,1,Beijing 2022,1996
Abigail STRATE,1,Beijing 2022,2001
Jessica MALSINER,1,Beijing 2022,2002
Thea Minyan BJOERSETH,1,Beijing 2022,2003
Katharina ALTHAUS,1,Beijing 2022,1996
Lisa EDER,1,Beijing 2022,2001
Anze LANISEK,1,Beijing 2022,1996
Josefin TALJEGARD,1,Beijing 2022,1995
Mariah BELL,1,Beijing 2022,1996
Yelim KIM,1,Beijing 2022,2003
Mana KAWABE,1,Beijing 2022,2004
Ekaterina KURAKOVA,1,Beijing 2022,2002
Alexandra FEIGIN,1,Beijing 2022,2002
Kamila VALIEVA,1,Beijing 2022,2006
Viktoriia SAFONOVA,1,Beijing 2022,2003
Yi ZHU,1,Beijing 2022,2002
Jenni SAARINEN,1,Beijing 2022,1999
Alysa Liu,1,Beijing 2022,2008
Anna SHCHERBAKOVA,1,Beijing 2022,2004
Madeline SCHIZAS,1,Beijing 2022,2003
Anastasiia GUBANOVA,1,Beijing 2022,2002
Wakaba HIGUCHI,1,Beijing 2022,2001
Olga MIKUTINA,1,Beijing 2022,2003
Ekaterina RYABOVA,1,Beijing 2022,2003
Natasha MCKAY,1,Beijing 2022,1995
Anastasiia SHABOTOVA,1,Beijing 2022,2006
Alexandra Trusova,1,Beijing 2022,2004
Young YOU,1,Beijing 2022,2004
Eva-Lotta KIIBUS,1,Beijing 2022,2003
