athlete_full_name,athlete_year_birth
"melanie hochreiter",1996
"felix leitner",1996
"miki kodama",1996
"paolo ventura",1996
"laurent dumais",1996
"simon jocher",1996
"erika janka",1995
"elena kruchynkina",1995
"tuuli tomingas",1995
"katherine stewart jones",1995
"lotte lie",1995
"emilien jacquelin",1995
"olli penttala",1995
"marco tade",1995
"tristan takats",1995
"sandrine tas",1995
"sandra eie",1995
"katharina ramsauer",1995
"jole galli",1995
"johanna holzmann",1995
"amy fraser",1995
"nikola mazur",1995
"ryan pivirotto",1995
"sofia belingheri",1995
"audrey mcmaniman",1995
"mariia vasiltcova",1995
"maeva estevez",1995
"aleksandra parshina",1995
"sofie karoline haugen",1995
"daniele bagozza",1995
"tautvydas strolia",1995
"kinga zbylut",1995
"adam dickson",1995
"glenn blois de",1995
"victoria demchenko",1995
"killian peier",1995
"yukiya sato",1995
"josefin taljegard",1995
"martine ripsrud",1995
"maksim gordeev",1995
"miks edgars zvejnieks",1995
"dries van den broecke",1995
"maksim makarov",1995
"ludek seller",1995
"joni maeki",1995
"tommaso sala",1995
"brodie seger",1995
"niels hintermann",1995
"chingiz rakparov",1995
"yueming ni",1995
"alina stremous",1995
"adriana jelinkova",1995
"mina fuerst holtmann",1995
"clara direz",1995
"katharina huber",1995
"anton persson",1995
"ariane raedler",1995
"yulia kanakina",1995
"basil sieber",1995
"pia fink",1995
"eva urevc",1995
"natasha mckay",1995
"sean doherty",1995
"qinghua ma",1995
"natalia nepryaeva",1995
"sofie krehl",1995
"caterina ganz",1995
"mingming huai",1995
"giada andreutti",1995
"arianna valcepina",1994
"kristen santos",1994
"jessica keiser",1994
"paula moltzan",1994
"tatiana sorina",1994
"thibaut favrot",1994
"fabien claude",1994
"stanislau hladchenka",1994
"christine scheyer",1994
"hannah schmidt",1994
"oleksii krasovskyi",1994
"ekaterina maltseva",1994
"nicole rocha silveira",1994
"ye bi",1994
"tyler wallasch",1994
"heikki laitinen",1994
"miha dovzan",1994
"nils allegre",1994
"lea jugovac",1994
"lilia vasileva",1994
"ekaterina katnikova",1994
"rene zahkna",1994
"uliana nigmatullina",1994
"kosuke sugimoto",1994
"jason rueesch",1994
"emiliano lauzi",1994
"maria therese tviberg",1994
"martin fritz",1994
"brogan crowley",1994
"konstantin milyukov",1994
"nuria pau",1994
"alessio trentini",1994
"cyprien sarrazin",1994
"ivan arzhanikov",1994
"daniil romanov",1994
"charlotta saefvenberg",1994
"katri lylynpera",1994
"cornelius kersten",1994
"julian rauchfuss",1994
"aleksandr gorbatcevich",1994
"fangming cheng",1994
"michele malfatti",1994
"svetlana mironova",1994
"jack gower",1994
"stefan rogentin",1994
"maja dahlqvist",1994
"dasom han",1994
"jonna sundling",1994
"kimi goetz",1994
"adrian smiseth sejersted",1994
"espen bjoernstad",1993
"daniel huber",1993
"laura gimmler",1993
"artem maltsev",1993
"irina bykova",1993
"evgeniya burtasova",1993
"ilia semikov",1993
"julian lueftner",1993
"philipp nawrath",1993
"ian quinn",1993
"samir mastiev",1993
"lukas greiderer",1993
"valentina margaglio",1993
"mattia gaspari",1993
"jonathan soto moreno",1993
"viktoriia olekh",1993
