athlete_full_name,COUNT(medal_type)
"donavan grondin",1
"jeffrey hoogland",1
"jack carlin",1
"azizulhasni awang",1
"jason kenny",1
"ellesse andrews",1
"shanne braspennincx",1
"lauriane genest",1
"olena starikova",1
"wai sze lee",1
"kelsey mitchell",1
"katie archibald",1
"laura kenny",1
"amalie dideriksen",1
"julie leth",1
"gulnaz badykova",1
"mariia novolodskaia",1
"elia viviani",1
"campbell stewart",1
"kirsten wild",1
"yumi kajihara",1
"jennifer valente",1
"larisa korobeynikova",1
"inna deriglazova",1
"lee kiefer",1
"katrina lehis",1
"ana maria popescu",1
"yiwen sun",1
"daniele garozzo",1
"ka long cheung",1
"alexander choupenitch",1
"aron szilagyi",1
"luigi samele",1
"junghwan kim",1
"romain cannone",1
"igor reizlin",1
"gergely siklosi",1
"manon brunet",1
"sofiya velikaya",1
"sofia pozdniakova",1
"yang lee",1
"chi-lin wang",1
"jun hui li",1
"yu chen liu",1
"aaron chia",1
"wooi yik soh",1
"greysia polii",1
"apriyani rahayu",1
"qing chen chen",1
"yi fan jia",1
"soyeong kim",1
"heeyong kong",1
"yi lyu wang",1
"dong ping huang",1
"si wei zheng",1
"ya qiong huang",1
"yuta watanabe",1
"arisa higashino",1
"viktor axelsen",1
"long chen",1
"anthony sinisuka ginting",1
"tzu ying tai",1
"yu fei chen",1
"pusarla venkata sindhu",1
"nathaniel coleman",1
"jakob schubert",1
"alberto gines lopez",1
"akiyo noguchi",1
"miho nonaka",1
"janja garnbert",1
"ravi kumar dahiya",1
"zavur uguev",1
"thomas patrick gilman",1
"nurislam sanayev",1
"vanesa kaladzinskaya",1
"bolortuya bat ochir",1
"qianyu pang",1
"mayu mukaida",1
"artur aleksanyan",1
"musa evloev",1
"tadeusz michalik",1
"mohammadhadi saravi",1
"mahamedkhabib kadzimahamedau",1
"kyle douglas dake",1
"zaurbek sidakov",1
"bekzod abdurakhmonov",1
"gadzhimurad rashidov",1
"haji aliyev",1
"takuto otoguro",1
"bajrang bajrang",1
"myles nazem amine",1
"david morris taylor iii",1
"artur naifonov",1
"hassan aliazam yazdanicharati",1
"rafig huseynov",1
"akzhol makhmudov",1
"tamas lorincz",1
"shohei yabiku",1
"blessing oborududu",1
"meerim zhumanazarova",1
"alla cherkasova",1
"tamyra mariama mensah stock",1
"sarah ann hildebrandt",1
"yui susaki",1
"yanan sun",1
"mariya stadnik",1
"mohammadreza geraei",1
"parviz nasibov",1
"frank staebler",1
"mohamed ibrahim elsayed elsayed",1
"aline focken",1
"adeline maria gray",1
"yasemin adar",1
"qian zhou",1
"iakobi kajaia",1
"riza kayaalp",1
"sergey semenov",1
"mijain lopez nunez",1
"zhan beleniuk",1
"viktor lorincz",1
"denis maksymilian kudla",1
"zurabi datunashvili",1
"kenichiro fumita",1
"sailike walihan",1
"sergey emelin",1
"luis alberto orta sanchez",1
"risako kawai",1
"iryna kurachkina",1
"helen louise maroulis",1
"evelina georgieva nikolova",1
"geno petriashvili",1
"taha akgul",1
"amir hossein zare",1
"gable dan steveson",1
"taybe mustafa yusein",1
"aisuluu tynybekova",1
"iryna koliadenko",1
"yukako kawai",1
"reineris salas perez",1
"kyle frederick snyder",1
"abdulrashid sadulaev",1
"abraham de jesus conyedo ruano",1
"anastasia pavlyuchenkova",1
"andrey rublev",1
"elena vesnina",1
"aslan karatsev",1
"ashleigh barty",1
"john peers",1
"alexander zverev",1
"karen khachanov",1
"pablo carreno busta",1
"nikola mektic",1
"mate pavic",1
"marin cilic",1
"ivan dodig",1
"marcus daniell",1
"michael venus",1
"marketa vondrousova",1
"elina svitolina",1
"barbora krejcikova",1
"katerina siniakova",1
"viktorija golubic",1
"laura pigossi",1
"luisa veras stefani",1
"mykayla skinner",1
"seojeong yeo",1
"simone biles",1
"chenchen guan",1
"xijing tang",1
"tin srbic",1
"kazuma kaya",1
"max whitlock",1
"chih kai lee",1
"denis ablyazin",1
"artur davtyan",1
"jeahwan shin",1
"jade carey",1
"vanessa ferrari",1
"mai murakami",1
"nina derwael",1
"anastasiia iliankova",1
"ferhat arican",1
"jingyuan zou",1
"lukas dauser",1
"rayderley miguel zapata",1
"artem dolgopyat",1
"yang liu",1
"eleftherios petrounias",1
"hao you",1
"mone inami",1
"lydia ko",1
"nelly korda",1
"rory sabbatini",1
"c.t. pan",1
"xander schauffele",1
"nikita ducarroz",1
"charlotte worthington",1
"hannah roberts",1
"logan martin",1
"daniel dhers",1
"declan brooks",1
"nora gjakova",1
"sarah leonie cysique",1
"tsukasa yoshida",1
"jessica klimkait",1
"romane dicko",1
"iryna kindzerska",1
"akira sone",1
"idalys ortiz",1
"madina taimazova",1
"chizuru arai",1
"sanne van dijke",1
"michaela polleres",1
"shori hamada",1
"madeleine malonga",1
"mayra aguiar",1
"anna-maria wagner",1
"takanori nagase",1
"shamil borchashvili",1
"saeid mollaei",1
"matthias casse",1
"vazha margvelashvili",1
"baul an",1
"daniel cargnin",1
"hifumi abe",1
"tsogtbaatar tsend-ochir",1
"lasha shavdatuashvili",1
"shohei ono",1
"changrim an",1
"distria krasniqi",1
"daria bilodid",1
"funa tonaki",1
"urantsetseg munkhbat",1
"tamerlan bashaev",1
"teddy riner",1
"lukas krpalek",1
"guram tushishvili",1
"krisztian toth",1
"lasha bekauri",1
"davlat bobonov",1
"eduard trippel",1
"aaron wolf",1
"jorge fonseca",1
"guham cho",1
"niiaz iliasov",1
"naohisa takato",1
"yeldos smetov",1
"luka mkheidze",1
"yung wei yang",1
"tina trstenjak",1
"maria centracchio",1
"clarisse agbegnenou",1
"catherine beauchemin-pinard",1
"uta abe",1
"chelsie giles",1
"odette giuffrida",1
"amandine buchard",1
"momiji nishiya",1
"rayssa leal",1
"funa nakayama",1
"pedro barros",1
"keegan palmer",1
"cory juneau",1
"sky brown",1
"kokona hiraki",1
"sakura yosozumi",1
"yuto horigome",1
"jagger eaton",1
"kelvin hoefler",1
"elena osipova",1
"lucilla boari",1
"takaharu furukawa",1
"mete gazoz",1
"mauro nespoli",1
"je deok kim",1
"gabriela bayardo",1
"steve wijler",1
"alejandra valencia",1
"luis alvarez",1
"eko yuli irawan",1
"fabin li",1
"igor son",1
"qiuyun liao",1
"zulfiya chinshanlo",1
